lines,subfolder,snapshot_date,snapshot_time
-rw-rw-r--    1 105      1001       401377 Apr 24 15:15 breathtestcore_0.4.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        36535 Apr 25 17:31 breathteststan_0.4.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       240273 Apr 25 17:36 climatol_3.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       311785 Apr 25 18:46 codemetar_0.1.6.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1618498 Apr 19 22:54 coxme_2.2-9.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      4743661 Apr 21 16:52 dlookr_0.3.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001     28782836 Apr 20 21:10 echarts4r_0.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        63913 Apr 21 20:27 echo.find_1.0.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       591497 Apr 25 15:14 envalysis_0.3.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       305461 Apr 18 17:32 ff_2.2-14.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        39124 Apr 20 17:24 fftRtsne_1.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       101457 Apr 23 19:06 gensvm_0.1.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         8159 Apr 20 17:36 grr_0.9.9.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       387075 Apr 20 01:57 h2o_3.18.0.8.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001          919 Apr 24 16:55 hyagopackage_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       537532 Apr 21 00:33 iFORM_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       235245 Apr 22 23:02 iForm_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         3384 Apr 25 15:21 ipeaData_0.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        15920 Apr 25 08:03 kmc_0.3-1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        10307 Apr 19 16:50 leerSIECyL_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       393089 Apr 23 16:24 lmSubsets_0.3.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         4281 Apr 20 06:19 lucasbicalho_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         7349 Apr 24 18:05 lue_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       573703 Apr 25 17:31 mlmm.gwas_1.0.2.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        26154 Apr 22 15:37 morpheus_0.2-0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        26771 Apr 20 02:53 morpheus_0.2-1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         3323 Apr 23 21:36 nstdFileRd_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         1494 Apr 20 13:58 peakdetection_0.1.2.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         1647 Apr 20 05:10 phone2address_0.4.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         8837 Apr 24 21:43 pivot_18.4.17.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        36512 Apr 25 00:56 pooling_1.1.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        17100 Apr 20 23:26 predtoolsTS_0.1.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2127023 Apr 20 12:33 psycho_0.2.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2878283 Apr 24 17:12 psyosphere_0.1.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2976394 Apr 23 19:13 psyosphere_0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-r--r--    1 1021     100       1050597 Apr 23 06:57 raster_2.7-5.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1050554 Apr 18 07:45 raster_2.7-6.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       372459 Apr 21 14:37 refGenome_1.7.5.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      9308451 Apr 18 18:24 roahd_1.4.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       142476 Apr 18 12:42 robcbi_1.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       656706 Apr 21 00:26 sensors4plumes_0.9.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        13161 Apr 23 07:31 spFSR_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2494625 Apr 24 18:10 specmine_2.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2496230 Apr 23 18:55 specmine_2.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        94316 Apr 18 12:17 spp_1.15.5.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1738274 Apr 22 19:10 stplanr_0.2.4.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        40775 Apr 24 15:33 table1_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        76338 Apr 19 15:11 timechange_0.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       828172 Apr 23 05:50 webr_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        65584 Apr 03 13:53 KnitroR_1.2.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        46526 Apr 25 15:41 ManlyMix_0.1.14.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001          997 Apr 25 16:59 RPackage_0.1.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         6736 Apr 23 12:01 RcmdrPlugin.OptimClassifier_0.1.2.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1269207 Apr 21 16:39 RcppArmadillo_0.8.500.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       401368 Apr 25 17:31 breathtestcore_0.4.1.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       799891 Apr 19 02:03 dplyr_0.7.5.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        73682 Apr 25 16:59 effectR_1.0.1.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        22762 Apr 23 01:16 espa.tools_0.63.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        59674 Apr 25 15:14 ggpol_0.0.1.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       451602 Apr 22 16:13 gss_2.1-9.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         7253 Apr 25 10:02 lue_0.1.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         1698 Apr 20 07:25 phone2address_0.4.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       115889 Apr 25 18:24 pkgdown_1.0.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        73557 Apr 12 18:11 processx3_3.0.3.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        73297 Apr 12 18:13 processx_3.0.3.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        27531 Apr 23 00:12 progress_1.2.0.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1050719 Apr 24 19:16 raster_2.7-7.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       800721 Apr 21 14:17 rbamtools_2.16.10.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1644577 Apr 07 20:07 rgdal_1.2-20.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      6885194 Apr 21 21:32 stringi_1.2.1.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        76417 Apr 20 13:18 timechange_0.0.1.tar.gz,inspect,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        70115 Apr 21 12:56 BNSP_2.0.3.tar.gz,pending,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2464972 Apr 24 18:45 antaresRead_2.1.1.tar.gz,pending,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       401359 Apr 25 11:22 breathtestcore_0.4.1.tar.gz,pending,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2434035 Apr 24 21:45 nloptr_1.1.9.tar.gz,pending,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         4435 Apr 25 16:15 AdvDif4_0.1.18.tar.gz,pretest,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      4519970 Apr 25 16:14 CSFA_1.0.0.tar.gz,pretest,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       276107 Apr 25 19:13 metap_0.9.tar.gz,recheck,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    6 1021     1001         4096 Apr 23 08:43 DS,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1001     1001         4096 Apr 11 16:53 KH,root,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    2 1023     1001         4096 Apr 25 15:03 SH,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    6 1010     1001         4096 Apr 22 15:13 UL,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1010     1001         4096 Apr 25 19:14 archive,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1010     1001         4096 Apr 25 18:37 inspect,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1010     1001         4096 Apr 25 16:24 pending,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 105      1001         4096 Apr 25 19:25 pretest,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1010     1001         4096 Apr 25 19:22 publish,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1010     1001         4096 Apr 25 19:22 recheck,root,2018-04-25,2018-04-25T17:27:07Z
drwxrwsr-x    2 1001     1001         4096 Apr 12 18:15 waiting,root,2018-04-25,2018-04-25T17:27:07Z
