lines,subfolder,snapshot_date,snapshot_time
drwxr-sr-x    2 1021     1001         4096 Apr 22 15:49 check,DS,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    2 1021     1001         4096 Apr 24 20:20 done-delete,DS,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    2 1021     1001         4096 May 03  2017 notok,DS,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    2 1021     1001         4096 Apr 24 20:20 ok,DS,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        74187 Mar 12 18:34 MFPCA_1.2-1.tar.gz,UL,2018-04-25,2018-04-25T17:27:07Z
lrwxrwxrwx    1 1010     1001           11 Oct 06  2016 archive -> ../archive/,UL,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    7 1010     1001         4096 Apr 16 13:09 gainr,UL,2018-04-25,2018-04-25T17:27:07Z
-rw-r--r--    1 1010     1001        56221 Apr 16 13:09 gainr_0.1.0.tar.gz,UL,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       531462 Apr 21 13:28 iFORM_1.0.tar.gz,UL,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    6 1010     1001         4096 Apr 21 13:10 iForm,UL,2018-04-25,2018-04-25T17:27:07Z
lrwxrwxrwx    1 1010     1001           11 Oct 06  2016 pending -> ../pending/,UL,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        18451 Mar 19 21:46 pkgbuild_1.0.0.tar.gz,UL,2018-04-25,2018-04-25T17:27:07Z
drwxr-sr-x    2 1010     1001         4096 Apr 12 18:14 revisit,UL,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1457840 Mar 12 00:07 tikzDevice_0.11.tar.gz,UL,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         4483 Apr 25 00:02 AdvDif4_0.1.18.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1150113 Apr 21 20:03 Boom_0.8.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      4519961 Apr 25 15:41 CSFA_1.0.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        46901 Apr 25 09:31 CTRE_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        22425 Apr 24 22:15 DataMan_0.6.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001     15584243 Apr 25 15:14 DatabaseConnector_2.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        76792 Apr 23 16:05 FHDI_1.3.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        35104 Apr 19 15:44 HMMpa_1.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        89691 Apr 20 15:26 IAPWS95_1.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1141400 Apr 25 04:42 MixfMRI_0.1-0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        21678 Apr 20 11:01 PLordprob_1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       667922 Apr 24 10:09 RAC_1.5.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1037925 Apr 23 17:20 RCALI_0.2-19.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001          997 Apr 25 16:42 RPackage_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       312171 Apr 24 05:37 RSDA_2.0.3.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         6940 Apr 23 11:26 RcmdrPlugin.OptimClassifier_0.1.2.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        34060 Apr 20 20:22 Rsagacmd_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        21188 Apr 25 17:50 SOR_0.23.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         3516 Apr 22 12:18 SQB_0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       407776 Apr 24 19:11 Sstack_1.0.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      1933747 Apr 24 16:52 TDA_1.6.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       753964 Apr 20 08:19 TROM_1.3.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         3950 Apr 18 14:57 basicANCOVA_1.0.1.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         4127 Apr 19 09:57 basicANCOVA_1.0.2.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001         4148 Apr 20 06:15 basicANCOVA_1.0.3.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       683806 Apr 23 22:26 batchtools_0.9.9.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001       871404 Apr 25 16:07 beanz_2.2.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001        94736 Apr 20 18:28 brainKCCA_0.0.0.9000.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
-rw-rw-r--    1 105      1001      2354154 Apr 25 04:06 brainKCCA_0.1.0.tar.gz,archive,2018-04-25,2018-04-25T17:27:07Z
